Filename,SMILES
molecule_1077.sdf,CC(=O)Nc1ccc(S(=O)(=O)N[C@@H]2C=C[C@@H](c3c(C)nn(-c4ccc(C(C)(C)C)cc4)c3C)C2)cc1
molecule_1078.sdf,O=C(C[C@@H]1CCNC[C@@H]1Cc1cc(-c2ccccc2)on1)N1CCN(c2ccccn2)CC1
molecule_1079.sdf,COc1ccc(-c2cc(C[C@H]3CNCC[C@H]3CC(=O)N3CCC(Cc4ccccc4)CC3)no2)cc1
molecule_108.sdf,O=C(c1ccc(F)cc1)N1C[C@@H]2C[C@H](C1)c1c(-c3ccc(Cl)cc3)ccc(=O)n1C2
molecule_1080.sdf,O=C(C[C@@H]1CCNC[C@@H]1Cc1cc(-c2ccccc2)on1)NC1CCCCC1
molecule_1081.sdf,Cc1nc(C2CCCC2)cc([C@H]2CN3CC[C@H]2C[C@@H]3CNC(=O)CCCC(=O)O)n1
molecule_1082.sdf,Cc1nn(-c2ccc(C(C)(C)C)cc2)c(C)c1[C@@H]1C=C[C@@H](NC(=O)CCCC(=O)O)C1
molecule_1083.sdf,Cc1nn(-c2ccc(C(C)(C)C)cc2)c(C)c1[C@@H]1C=C[C@@H](NC(=O)CC2(CC(=O)O)CCCC2)C1
molecule_1084.sdf,Cc1nn(-c2ccc(C(C)(C)C)cc2)c(C)c1[C@@H]1C=C[C@@H](NC(=O)CC(C)(C)CC(=O)O)C1
molecule_1085.sdf,Cc1nn(-c2ccc(C(C)(C)C)cc2)c(C)c1[C@@H]1C=C[C@@H](NC(=O)CCC(=O)O)C1
molecule_1086.sdf,COCC(=O)NC[C@H]1C[C@@H]2CCN1C[C@@H]2c1cc(-c2ccccc2OC)nc(C)n1
molecule_1087.sdf,Cc1nn(-c2ccc(C(C)(C)C)cc2)c(C)c1[C@@H]1C=C[C@@H](NC(=O)COCC(=O)O)C1
molecule_1088.sdf,COCC(=O)NC[C@H]1C[C@@H]2CCN1C[C@@H]2CN1CCOCC1
molecule_1089.sdf,N#Cc1ccccc1S(=O)(=O)N[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)Nc1ccc(Oc2ccccc2)cc1
molecule_109.sdf,O=c1c(-c2ccc(OC(F)(F)F)cc2)ccc2n1C[C@H]1C[C@@H]2CN(S(=O)(=O)c2cccs2)C1
molecule_1090.sdf,COCC(=O)N1Cc2c(ncn2C(C)C)C[C@H]1C(=O)OC
molecule_1091.sdf,COC(=O)[C@@H]1Cc2ncn(C(C)C)c2CN1S(C)(=O)=O
molecule_1092.sdf,CC(C)NC(=O)N[C@H]1C[C@H]2C(=O)NC[C@@H](CCC(=O)NCc3ccccc3)N2C1
molecule_1093.sdf,CC(C)NC(=O)N[C@H]1C[C@H]2C(=O)NC[C@@H](CCC(=O)N3CCc4ccccc43)N2C1
molecule_1094.sdf,O=C1C[C@@H]2CCN(C(=O)C3CC3)C[C@@H]2CCN1Cc1ccc2c(c1)OCO2
molecule_1095.sdf,COc1ccc(CNC(=O)CC[C@@H]2CNC(=O)[C@@H]3C[C@H](NC(=O)NC(C)C)CN23)cc1
molecule_1096.sdf,O=C1C[C@@H]2CCN(C(=O)NC3CCCCC3)C[C@@H]2CCN1Cc1ccc2c(c1)OCO2
molecule_1097.sdf,CCNC(=O)N1CC[C@H]2CC(=O)N(CCc3cccc(OC)c3OC)CC[C@H]2C1
molecule_1098.sdf,COc1ccc(CC(=O)N2CC[C@H]3CC(=O)N(CCc4cccc(OC)c4OC)CC[C@H]3C2)cc1
molecule_1099.sdf,COCC(=O)N1CC[C@H]2CC(=O)N(CCc3cccc(OC)c3OC)CC[C@H]2C1
molecule_11.sdf,O=C(O)c1cccc(C(=O)N2C[C@@H]3C[C@H](C2)c2ccc(NS(=O)(=O)c4ccc(Cl)cc4)c(=O)n2C3)c1
molecule_110.sdf,COc1ccccc1NC(=O)N1C[C@@H]2C[C@H](C1)c1c(-c3ccc4ccccc4c3)ccc(=O)n1C2
molecule_1100.sdf,COc1cccc(CCN2CC[C@H]3CN(C(=O)CC(C)(C)C)CC[C@H]3CC2=O)c1OC
molecule_1101.sdf,COCCOc1ccc(C(=O)N[C@@H]2CN(C(=O)Nc3cccc(OC)c3)CCC[C@H]2O)cc1
molecule_1102.sdf,Cc1noc(C)c1COc1ccc(C(=O)N[C@@H]2CN(C(=O)Nc3cccc(C(F)(F)F)c3)CCC[C@H]2O)cc1
molecule_1103.sdf,COC(=O)c1ccccc1NC(=O)N1CCC[C@@H](O)[C@H](NC(=O)c2ccc(OCc3c(C)noc3C)cc2)C1
molecule_1104.sdf,CC(C)NC(=O)CC[C@@H]1CNC(=O)[C@@H]2C[C@H](NCc3ccc(CO)o3)CN12
molecule_1105.sdf,C=CCNC(=O)N1CC[C@H]2CC(=O)N(CCN3CCNC3=O)CC[C@H]2C1
molecule_1106.sdf,O=C1C[C@@H]2CCN(C(=O)c3ccccc3)C[C@@H]2CCN1CCN1CCNC1=O
molecule_1107.sdf,C=CCNC(=O)N1CC[C@H]2CC(=O)N(C3CCCCC3)CC[C@H]2C1
molecule_1108.sdf,COc1ccc(CC(=O)N2CC[C@H]3CC(=O)N(CCN4CCOCC4)CC[C@H]3C2)cc1
